# form	pos	lemma	sense	freq
འབབ་བདེ			<place> Easy Flow
འབབ་ཆུ་རྣམ་ཀྱིས་མངོན་པར་དགའ་བ			<place> Cascades of Joy
འབབ་ཆུ་རྣམ་པ་སྣ་ཚོགས་པ་དང་ལྡན་པ			<place> Adorned with Numerous Cascades
འབབ་ཆུའི་སྒྲ་དང་ལྡན་པའི་ནགས			<place> Forest of Cascading Water Sounds
འབབ་ཅུ			<place> Cascade
འབབ་མ			<term> channel
འབར་བ་འཛིན			<place> Jālandhara
འབར་བའི་འོད			<person> Ujjvalaprabha
འབར་བའི་དབྱངས			<person> Blazing Melody
འབར་བའི་ཁ			<place> Mount Jālinīmukha
འབར་བའི་ངུ་འབོད			<place> Wailing Hell of Flames
འབར་བའི་ཏོག			<person> Blazing Crest
འབར་བ			<person> Blaze
འབར་མ			<person> Jvalanī
འབེལ་མ			<person> Abundant
འབིགས་བྱེད			<person> Mount Vindhya, Vindhya, Vindhyas
འབོད་བྱེད			<person> Āhvayana
འབྲ་གོ་ཅན			<place> Kharjūrikā
འབྲལ་བར་བྱེད་པ			<person> Vigama
འབྲལ་བ			<term> disjunction, separated
འབྲང་མཚམས་ཕུག་ཆུང་མ			<text> The Drang Tsamphuk Chungma Collection
འབྲས་འཕེལ་དག			<place> Grown Rice
འབྲས་འཕེལ			<place> Flourishing Rice
འབྲས་བུ་ཨ་ལ་བུད་ལྟ་བུར་གཅོད་པ			<place> Slicing Like a Bottle-Gourd Fruit
འབྲས་བུ་བཞི			<term> four fruitions, four results
འབྲས་བུ་ཆེ་བའི་ལྷ་རྣམས			<term> Great Fruit
འབྲས་བུ་ཆེ་བ			<place> Bṛhatphala, Great Fruition, Heaven of Great Reward, those with great fruition
འབྲས་བུ་ཆེ			<person> Bṛhatphala
འབྲས་བུ་ཆེ			<term> Bṛhatphala, Great Fruition Heaven, Great Result, Heaven of Great Fruition, Heaven of Great Results, Large Fruit
འབྲས་བུ་དང་བཅས་པ			<person> Saphala
འབྲས་བུ་དང་ལྡན་པ			<place> Endowed with Result
འབྲས་བུ་གསུམ་གྱི་ཤིང			<term> three myrobalans
འབྲས་བུ་གསུམ་པ			<person> Triphālin
འབྲས་བུ་གསུམ			<term> three fruits, three myrobalan fruits
འབྲས་བུ་ཀུན་ཕྱེད			<place> Yielding All Fruits
འབྲས་བུ་ལ་གནས་པ			<term> result-recipient
འབྲས་བུ་རྟག་ཏུ་མཛས			<place> Fruits of Constant Beauty
འབྲས་བུ་ཞག་ལོན			<term> vāsya
འབྲས་བུའི་ངོ་བོ་ཕྱག་རྒྱ་ཆེན་པོ			<term> resultant mahāmudrā
འབྲས་བུའི་སྨན			<term> medicinal fruits
འབྲས་བུས་ཉེ་བར་འཚོ་བ			<place> Sustained by Fruition
འབྲས་བུ			<term> fruit, fruition
འབྲས་ཆན			<term> boiled rice, rice pudding
འབྲས་ཁུའི་ཆུ			<place> Ācāma River
འབྲས་ཀྱི་གྲོང་ཁྱེར			<place> Dhānyapura
འབྲས་ཕུང			<place> Dhānyakaṭaka
འབྲས་ཟན			<term> rice
འབྲས			<term> large pustules
འབྲེལ་བའི་སྤོབས་པ			<term> inspired speech that is well connected
འབྲི་ཥ་བྷོ			<place> Abrikṣabho
འབྲི་བ་མ་ཡིན། འཕེལ་བ་མ་ཡིན			<term> does not diminish, nor does it increase
འབྲི་བ			<term> diminution
འབྲི་ཆུ			<place> Drichu
འབྲི་གདོང			<term> yak face
འབྲི་གུང			<place> Drigung
འབྲིས་ཀ			<place> Drika
འབྲོ་ལོ་ཙཱ་བ་ཤེས་རབ་གྲགས་པ			<person> Dro Lotsawa Sherap Drakpa
འབྲོག་གནས་པོ			<person> Āṭavaka
འབྲོག་གནས			<person> Āḍavaka, Āṭavaka, Aṭavika, Guhyasthāna
འབྲོག་ཁོང་ཁོང་ན་ཡོད			<place> Aṭavīsaṃbhavā
འབྲོག་མི་ལོ་ཙཱ་བ་ཤཱཀྱ་ཡེ་ཤེས			<person> Drokmi Lotsāwa Śākya Yeshé
འབྲོག་མི་ཤཱཀྱ་ཡེ་ཤེས			<person> Drokmi, Drokmi Śākya Yeshé
འབྲོག་ཏུ་རྣམ་པར་ཆད་པ			<place> Isolated Highlands
འབྲོག			<place> Aṭavī, Āṭavī
འབྲོམ			<term> Drom
འབྲུ་གསུག			<term> spṛkkā
འབྲུ་ལྔ			<term> five grains
འབྲུ་མངས			<place> Bahudhanyaka
འབྲུ་མར་བསྐོལ་བ			<term> boiled oil
འབྲུ་སྣ་ལྔ			<term> five grains
འབྲུའི་ཆང			<term> spirituous liquor
འབྲུག་སྒྲ་བསྒྲགས་པ			<person> Nāganinardita
འབྲུག་སྒྲ་བསྒྲགས			<person> Dragon's Roar Resounding
འབྲུག་སྒྲ་དང་རྔ་བོ་ཆེའི་སྐད་ཀྱི་རྒྱལ་པོ			<person> Garjitaghoṣadundubhisvararāja
འབྲུག་སྒྲ་དབྱངས			<person> Garjitasvara, Melodious Thunder
འབྲུག་སྒྲ་མཐུ་རྩལ			<person> Thundering Power
འབྲུག་སྒྲ་ང་རོ			<person> Roaring Thunder
འབྲུག་སྒྲ་རྒྱལ་པོ			<person> Megharāja
འབྲུག་སྒྲ་སྒྲོགས			<person> Dragon Voice, Roaring Thunder
འབྲུག་སྒྲའི་དབྱངས་ཀྱི་རྒྱལ་པོ			<person> King of Thunderous Voice
འབྲུག་སྒྲའི་རྒྱལ་པོ			<person> Royal Thunder
འབྲུག་སྒྲ			<person> Meghanāda, Meghasvara, Sound of Thunder, Rāvaṇa, Āyustejas
འབྲུག་སྒྲོགས་མ			<person> Lady Dragon's Roar
འབྲུག་སྒྲོགས			<person> Garjana, Garjasphoṭaka, Garjanī
འབྲུམ་བུ་མེ་དབལ			<term> erysipelas
འབྲུམ་ཕྲན			<term> exanthema
འབྲུ			<term> grain
འབུ་ཅན་གྱི་འདུ་ཤེས			<term> contemplation of a worm-infested corpse
འབུ་གསུག			<term> spṛkkā
འབུམ་ཆེན་སྡེ་ལྔ			<term> Five Sets of One Hundred Thousand
འབུམ་རི་བའི			<term> very costly
འབུམ་སྡེ་ལྔ			<term> Five Sets of One Hundred Thousand
འབུམ			<text> The Perfection of Wisdom in One Hundred Thousand Lines
འབུ			<term> Bu
འབྱེད་པ			<term> disassociate, to parse
འབྱོར་འོད			<person> Light of Wealth
འབྱོར་བའི་སྒྲོན་མ			<person> Wealth Lamp
འབྱོར་བ			<person> Wealth, Endowment
འབྱོར་བྱེད			<person> Winner
འབྱོར་བྱིན			<person> Wealth Gift
འབྱོར་བཟང་འབྱོར་པ			<person> Subhūtibhūti
འབྱོར་དགའ་སེང་གེའི་སྟོབས			<person> Wealth of Joyous Lion Strength
འབྱོར་དགའ			<person> Bhavanandin
འབྱོར་གྲགས			<person> Famed Wealth
འབྱོར་ལྡན་འོད་ཟེར			<person> Radiant Wealth
