# form	pos	lemma	sense	freq
འམ			or; and; question marker; or else
འང			but; even; also; ever; or
འང་དེ			but; even; also; ever; or
འང་མི			never
འབའ་ཞིག			only; sole; alone; soley
འབབ			descend; rain; flow; fall down; move downward; slope toward
འབབ་པ			descend; rain; flow; fall down; move downward; slope toward
འབབས			descend; rain; flow; fall down; move downward; slope toward
འབད			strive; make effort; make exertion; exertion
འབད་ཅིང			striving
འབད་མེད			nonstriving; non-striving; non-effort
འབད་མེད་པར			without striving; without making effort
འབད་ན			when one strives; when he strives
འབད་པ			to strive; exertion; make effort; make exertion
འབད་པ་དང་བཅས་པ			with exertion  (T)
འབད་པ་མེད་པར་ཐར་པར་འགྱུར			become liberated without making effort
འབད་པ་མི་མངའ་བར་ཡེ་ཤེས་འཇུག་པ			effortlessly engage wisdom; wisdom which engages effortlessly  (T)
འབད་པའི་རྣམ་པ་བསྒོམ་པ			cultivate the aspect(s) of striving
འབད་པར་བྱ			will strive; will make effort
འབད་པར་བྱའོ			one should strive; you should strive
འབད་པར་བྱེད་དོ			strive; striving; make effort; making effort
འབད་པར་བྱེད་པ			strive; striving; make effort; making effort
འབད་རྩོལ			striving and exertion
འབད་རྩོལ་རགས་པ			coarse striving and exertion
འབར			burn; blaze up; blaze; catch fire; flaming; fire
འབར་བ			burn; blaze up; blaze; catch fire; flaming; fire
འབེབས			settle; cause to descend; fall; cast down
འབེབས་པ			settle; cause to descend; fall; cast down
འབོད་སྒྲ			vocative case
འབོག			give; bestow
འབྲལ			to be devoid of; free from; lack; separate from
འབྲལ་བ			to be devoid of; free from; lack; separate from
འབྲལ་བ་ལ་སྒྲིབ་པ			obstructions to separation
འབྲལ་བ་མེད			not devoid of; not lacking; not separate from
འབྲལ་བའི་བྱེད་རྒྱུ			creative cause of separation
འབྲལ་བར་འགྱུར་རོ			to be devoid of; become free from; lack; separate from
འབྲལ་བར་བྱེད་དེ			separate; estrange; disjoin
འབྲལ་བར་བྱེད་པ			separate; estrange; disjoin
འབྲལ་བར་མི་བྱེད་པ			not lacking; not separate from; not free from
འབྲས			effect; result; fruit
འབྲས་བུ			effect; result; fruit
འབྲས་བུ་འབྱིན			issue forth fruit/effects  (T)
འབྲས་བུ་འབྱོར་བ			acquisition of the fruit
འབྲས་བུ་འབྱུང་བ			give rise to an effect
འབྲས་བུ་འཛིན་པའི་ཡོན་ཏན			qualities of apprehending the effect
འབྲས་བུ་འཕེལ་བ			impel an effect; increase the effect
འབྲས་བུ་བྱང་ཆུབ་ཆེན་པོ			the fruit, great enlightenment
འབྲས་བུ་ཆེ			Great Fruit
