# form	pos	lemma	sense	freq
འཽ་རེ་བརྒྱལ			suffer
འབའ			1) bleat; 2) pledge for an unchanging promise, contract, written agreement; 3) {'ba'} district / [if 1 breaks a contract, 'ba' that is a cause of establishing the penalty specified]
འབའ་འགལ			breach of contract
འབའ་འཇོག			place a bet, sign a contract
འབའ་བ			1) bleat; 2) bring; 3) carry
འབའ་བོ			1) hole, gap; 2) cave; 3) cavern
འབའ་ཆ			1) [fodder of] oil-seed lees; 2) musical instrument
འབའ་ཆི			grain srus beaten after being cooked leb chags
འབའ་དམ			almond, peanut
འབའ་དངུལ			fine for violation of 'ba,' [payment on losing a] cash bet, money involved in a contract
འབའ་གན			agreement; agreement or vow [w/otime limit] or discipline [if 1 breaks it, 1 agrees "just this fault I will offer."]. agreement, vow [w/o time limit], discipline
འབའ་ཇི			1) grain srus beaten after being cooked leb chags; 2) 'ba' thang; 3) a dzong)/ [in si khron province dkar mdzes in W Tibet and on the E 'bri chu bank]. 1) grain srus beaten after being cooked leb chags; 2) 'ba' thang; 3) a rdzong
འབའ་ཁུག			silver pouring vessel's khug ma rgyas spros can
འབའ་ལུང			'ba' valley [R] [in the language of the 'Jan region [of Yun Nan called nyi nag, the great region lower Yun Nan's bde chen region, the zla chu rdzong 'di dkyil bshags btang nas 'bab]
འབའ་པ			people from {'ba' thang/ yule}
འབའ་པོ			1) magician; 2) sorcerer; 3) conjurer
འབའ་རྒུན			grapes from {'ba' yule}
འབའ་རྒྱུག			go alone
འབའ་སེལ			subtle fault of violating a contractual agreement
འབའ་སྒྲ			bleat
འབའ་ཤ			black grape
འབའ་སྐད			bleat
འབའ་ཐང			{'ba thang}/ yule region ET
འབའ་ཡིག			written contract
འབའ་ཞིག			1) just; 2) only; 3) exclusive[ly]; 4) unique; 5) sole[ly], purely; 6) alone; 7) a fruit. 1) exclusive; 2) only; 3) unique; 4) alone
འབའ་འདེད་གཙང་སྒྲུབ			determine the measure [in penalty] of a fault of breach of contract
འབའ་རོམ་བཀའ་བརྒྱུད			Barom Kagyu
འབའ་རོམ་པ་དར་མ་དབང་ཕྱུག			Barom Dharma Wangchuk
འབའ་རོམ་དགོན་པ			Barom monastery
འབའ་རོམ་དར་མ་དབང་ཕྱུག			Barom Dharma Wangchuk
འབའ་ལེ་འབོལ་ལེ			soft
འབའ་རེ་འབོ་རེ			careless
འབའ་ལ་དཀར་འཛོམས			{'ba' la dkar 'dzoms} pass [Yun Nan gyi bde chen, N rgyal thang rdzong, T]
འབའ་ཆའི་ལུད			fertilizer of oil-seed lees
འབའ་ཞིག་གིས			1) exclusive; 2) only; 3) unique; 4) alone
འབའ་ཞིག་པ			offense of using for 1self alone ?. 1) exclusive; 2) only; 3) unique; 4) alone
འབའ་ཞིག་པོ			1) exclusive; 2) only; 3) unique; 4) alone
འབའ་ཞིག་ཏུ			1) just; 2) only; 3) exclusive[ly]; 4) unique; 5) sole[ly]; 6) alone
འབའ་ཞིག་པ་དགུ་བཅུའི་ནང་གསེས			nye du ma yin pa'i dge slong ma brgyud nas khyim bdag la rang gi bza' btung sbyor du bcug pa'o
འབའ་ཆ་བ			musician
འབའ་ཆ་གཏོང			play a musical instrument
འབའ་ཆ་མཁན			musician
འབའ་ཆ་རུ་ཁག			band, musical group
འབའ་ཁུག་ཁབ་ཤུབས			particular kind of gzab rgyan of a previous divine consort of Tibet
འབའ་བོ་ཅན			hollow
འབབ			1) fall of snow; 2) fall; 3) drop down; 4) descend, land [airplane]
འབབ་ཆུ			1) [swift mountain] stream; 2) waterfall; 3) river; 4) running water
འབབ་དེབ			1) notebook; 2) diary
འབབ་གཞི			source
འབབ་ཁ			1) source; 2) lata; 3) l under a letter
འབབ་ཁོངས			1) a kind of yong 'bab; 2) rang gi thob sa thob khungs
འབབ་ཁུངས			source
འབབ་ལྡན			1) stream; 2) waterfall; 3) the nadis
འབབ་མ			yu ba of a plow
འབབ་པ			1) flow; 2) go down; 3) move downward four descend; 5) occur; 6) arrive; 7) windfall
འབབ་ཕྱོགས			1) downward falling direction; 2) source
འབབ་རྒྱ			contract establishing a 'ba'
འབབ་རྟེན			horse-dismounting platform for the receiver of a bride
འབབ་ས			1) place of descent; 2) place of occurrence; 3) source; 4) station, port [train plane boat]
འབབ་སྒོ			1) cause/ means of coming/ descending/ occurring; 2) source; 3) income
འབབ་སྨྱུག			former khra shog 'bri mkhan secretary's thob thang
འབབ་སྟེགས			platform for dismounting from a horse, station platform [train etc.]
