# form	pos	lemma	sense	freq
འ་འབུས			i
འ་འདོགས			consonants with the letter 'a subscribed, syllables with the vowel elongated by the addition of the letter 'a
འ་འུར			loud whirring noise
འ་ལས			pah, bah, pooh
འ་མ			but; but, yet, well
འ་ན			SA {'o na} SA {'o na}
འ་རྫི			ah, damn, what, oh, why, hey
འ་ཡོ			puppy
འ་རེ་འུ་རེ			a loud sound, loud whirring noise
འ་ལ་གཟི་ཆེན			a learned lama
འ་ལ་མ་ལ			confused, unconnected, irregular
འ་ན་ཡང			although
འ་ཤ་རྒྱབ་པ			jeer
འ་ཡི་ཀྱེ			ah, damn
འ་ཏི་ཝ			turn a somersault, tumble over, roll
འབ་འུབ			not definite, nothing conclusive, not in shape
འབ་པ			bark, make at a person or animal
འལ་འོལ			flimsy, random, confused, unconnected, irregular, unreal, hazy
འམ			or, else, or else, or, alternately
འན་བུ			SA ngan bu
འང			also, too, as well, but, yet, still, nevertheless, even if, even, even including, though, although, ever, soever, SA kyang
འང་གུ			pigeon
འང་ཀེ			mystical character often in finial ornaments
འང་གུ་མདོག			gray
འར་འུར			SA 'ur 'ur
འར་ཅན			angry
འར་པ			a lot
འར་པོ			angry
འར་ཡང			also, too, likewise
འར་ལྷུང་དུ་མ			had very nearly fallen into the hands of the enemy
འར་ལྷུང་དུ་མ་རྒྱག			having just not fallen into the hands of the enemy
འར་རྒྱབ་པ			cast lots, lay wager
འབའ			seizure, distraint, liability of paying higher interest, place in khams
འབའ་འགན			agreement, contract
འབའ་བ			bleat, bring, carry, commit adultery
འབའ་བོ			hole, cave, cavern
འབའ་བྱི			parched paddy beaten out and used by indians as food instead of cooked rice, cake of parched rice or maize meal
འབའ་ཆ			musical instrument, sediment, lees, remnant
འབའ་དར			kind of scarf
འབའ་གན			agreement
འབའ་གཞུ			bow that is made of very strong bamboo growing in 'ba'
འབའ་ཁེན			coolie
འབའ་མོ			magician, sorcerer, witch, SA dba' mo
འབའ་པོ			magician, sorcerer, SA dba' ba
འབའ་ཤག			large ladle of wood made in 'ba' thang
འབའ་ཤོག			bring it hither
འབའ་སྐྱོགས			large ladle of wood made in 'ba' thang
འབའ་སོང			take it away
