# form	pos	lemma	sense	freq
ཀ་ཁོལ་མ			This is a text of religious history, a will left by King Songtsen Gampo and concealed in a pillar marked with tree leaves in the Lhasa Cathedral, which was later discovered by the great teacher, AtiSa This text is also known by the name Guide to Lhasa ({lha sa'i dkar chag}).
ག་ཏྱཱའི་བྱ			[kātyāyana]/ A direct disciple of Buddha [ṡākyamuni] known especially for his knowledge of Vinaya, and who was also the founder of the Theravadin tradition, one of the four main schools of the Theravada tradition.
ཀ་དག			1. Primordially pure or pure from the beginning; the original mode of abidance of that which is basically unarisen; a term used in Nyingma teachings.\n2. Emptiness.
ཀ་དག་ལྷན་སྐྱེས			Innately pure from the beginning; the primordial principle
ཀ་དག་གདོད་མའི་གཤིས་ལུགས			The nature of primordial purity; the primordial reality.
ཀ་དག་ཁྲེགས་ཆོད			The primordial breakthrough-path. A core transmission of the secret {rdzog chen} practice, the quintessential instruction for liberating lazy disciples effortlessly. Through the mastering of this instruction one is able to maintain the meaning of primordial reality in its instinctive and natural ...
ཀ་གདམས་བདེ་གཤེགས			Kadampa Desheg. His real name is Sherab Senge, but is also known by the name Pobpa Thaye. Born in the Water-Tiger year (1122) of the second sexagenerary at Dokham, eastern Tibet, he built Kathog monastery in the Palyul district of the Kham region. He was a great master belonging to the Nyingma tr...
ག་ཎ་ཡ			Spear-noose; harpoon; a spear with a noose at its end used as a tantric implement.
ཀ་ནིཥ་ཀ			Kanis.ka/ An early Indian King. With his military power he conquered small kingdom and build the Ganghola kingdom during the first century, but at the end of his life became a Buddhist and erected many temples and stupas. He accepted [ācārya āryaṡūra] ({rta dbyangs}) as his teacher and patronized...
ཀ་མ་ལ་ཤཱི་ལ			[kamalaṡīla]/ An Indian [ācārya] professing the philosophy of the [yogācārya] [madhyamaka] school which developed in the eastern part of India during the eighth century A.D. During the reign of King Tri-Song Deu-Tsan he was invited to Tibet and defeated the Chinese monk Hashang [mahāyāna] holding...
ཀརཎི་སྒོ་བཞིའི་མཆོད་རྟེན			A stupa with four gates built on the highway north of the Lhasa cathedral. It is believed to be a holy place where the great meditator, Thangtong Gyalpo spent many years practising meditation before 1368 A.D.
ཀརྨ་བཀའ་བརྒྱུད			The Karma Kagyud Tradition of Tibetan Buddhism; one of the many lineages of Kagyud traditions founded by the first Karmapa Dusum Khyenpa (1110-1193), who was a distinguished disciple of Gampopa (see {sgam po pa}). He established Tsurphu Monastery, the main seat of his tradition, in the north-west...
ཀི་ལི་ཀི་ལིའི་སྒྲ་ཅན			That which pronounces ki-li ki-li, one of the eight cemeteries (see {dur khrod chen po brgyad}).
ཀུ་མཱ་ར་ཇཱི་བ			[kumārajiva]. A a great translator from Kotan (li-yul). His father, although of Indian origin, married a princess of a northern Kotan (li-yul) king, and gave birth to this translator there. At a young age he entered monkhood, and received the name Zhonu Tsering. He studied Sanskrit language and H...
ཀུ་རུ་ཀུ་ལླེ			A goddess of power called Rigje-ma ({rig byed ma}) common to Sakya's golden transmission lineage ({gser chos}).
ཀུ་ཤ			The [kuṡa] grass, literally meaning that which dispels evil or the supreme grass. It has a fine and rich, crispy tassel of leaves, it is sweet flavoured, moderate to digest, and has the power to prolong one's life and increase the essential energy of the human body.
ཀུ་ཤའི་གྲོང་ཁྱེར			[kuṡinagarī]/ The city of Kusha, Kushinagara where Buddha [ṡakyamuni] passed away into [parinirvāṇa]. Located close to the border of India and Nepal near Gorakhpur.
ཀུ་ས་ར			An Indian pandit who was invited to Tibet during the reign of King Songtsen Gampo. He translated many tantric texts of different levels from Sanskrit into Tibetan.
ཀུ་སུ་ལུ			A Yogi mendicant; a yogi who practices the art of tantric exorcism and penance.
ཀུ་སཱ་ལིའི་ཚོགས་གསོག			A cut-ritual ({gcod}) practice in which one offers one's body as a feast ({tshog}) to accumulate merit.
ཀུན་དཀྲིས			The ever-binding factors; fetters. Those categories of delusions that are responsible for making repeated obstacles for one's mind during meditation on calm-abiding ([ṡamatha]) and equanimity ([upekṣā]/ {btang snyoms}). There are four (see {kun dkris bzhi}) and three levels of wrong activities wh...
ཀུན་དཀྲིས་བརྒྱད			[aṣṭa paryavasthāna]/ The eight ever-binding factors; eight fetters. The delusions that disturbs the mind repeatedly during meditation on calm-abiding ([ṡamatha]) and equanimity (btang-snyoms). These are:\n1. {rmugs pa} [styāna]/ mental sloth\n2. {gnyid/} [middha]/ sleep\n3. {rgod pa/} [auddhatya...
ཀུན་དཀྲིས་བཅུ			[daṡa paryavasthāna]/ The ten ever-binding factors; the ten fetters: 1-8. (see {kun dkris brgyad})\n9. {khro ba/} [krodha]/ anger\n10. {'chab pa/} [mrakṣa]/ concealment.
